Marshland,2014,Alberto Rodríguez,"Action, Crime, Mystery",TV-MA,7.2
White God,2014,Kornél Mundruczó,"Drama, Thriller",R,6.9
Moms' Night Out,2014,Andrew Erwin,Comedy,PG,5.3
Dead Snow 2: Red vs. Dead,2014,Tommy Wirkola,"Action, Comedy, Fantasy",R,6.8
Deadly Virtues: Love.Honour.Obey.,2014,Ate de Jong,"Drama, Thriller",Not Rated,4.8
Haider,2014,Vishal Bhardwaj,"Action, Crime, Drama",Not Rated,8.0
About Last Night,2014,Steve Pink,"Comedy, Romance",R,6.0
Kid Cannabis,2014,John Stockwell,"Biography, Comedy, Crime",Not Rated,6.4
Live Nude Girls,2014,Jay Leggett,Comedy,Not Rated,3.6
The Good Lie,2014,Philippe Falardeau,"Biography, Drama",PG-13,7.4
Boy Meets Girl,2014,Eric Schaeffer,"Comedy, Drama, Romance",R,7.1
Life Partners,2014,Susanna Fogel,"Comedy, Drama, Romance",R,6.2
